Schupfnudeln mit Tomaten-Schafskäse-Sauce,Nouilles avec la sauce au fromage de brebis et tomates,Noodles with tomatoes and sheep's cheese sauce
Schupfnudelpfanne mit Kohl und Ingwer,Schupfnudelpfanne avec du chou et le gingembre,Schupfnudelpfanne with cabbage and ginger
Schwarzwurzel Wintergemüse-Topf,Salsifis ragoût de légumes d'hiver,Salsify winter vegetable stew
Seitanschnitzel mit Bratkartoffeln ungarisch,Seitanschnitzel avec pommes de terre frites hongrois,Seitanschnitzel with fried potatoes Hungarian
Semmelknödel in Pilzrahmsauce,Dumplings à la sauce aux champignons,Bread dumplings in mushroom sauce
Serbisches Paprika-Risotto,Serbe risotto poivre,Serbian pepper risotto
Sesam-geröstetes Ofengemüse mit Dip,Sésame grillé légumes rôtis avec une trempette,Sesame toasted roasted vegetables with dip
Shahi Paneer mit Reis,Shahi paneer avec du riz,Shahi Paneer with rice
Sommerlicher Nudelsalat mit Rucola,Salade estivale de roquette,Summery salad with arugula
Spaghetti in Kokos-Spinatsauce,Spaghetti à la sauce de noix de coco d'épinards,Spaghetti in coconut spinach sauce
Spaghetti in Pinien-Tomaten Bouqet,Spaghetti à la tomate pin-Bouqet,Spaghetti in tomato pine-Bouqet
Spaghetti Kirschtomate,Spaghetti Tomate cerise,Spaghetti Cherry Tomato
Mozzarella und Rucola,Mozzarella et roquette,Mozzarella and arugula
Spaghetti mit Cherry-Tomaten,Spaghettis aux tomates cerises,Spaghetti with cherry tomatoes
Spaghetti mit herbstlicher Steinpilzsauce,Spaghetti à la sauce aux champignons porcini automne,Spaghetti with autumnal porcini mushroom sauce
Spanische Pilzpaella,Espagnol champignons paella,Spanish mushroom paella
Spinat-Risotto mit Gorgonzola,Risotto aux épinards au gorgonzola,Spinach risotto with gorgonzola
Spätzli Gratin mit Marroni,Spaetzle gratin avec des châtaignes,Spaetzle gratin with chestnuts
TexMex-Gratin mit Räuchertofu,TexMex gratin avec du tofu fumé,TexMex gratin with smoked tofu
Tofu-Pfanne mit Früchten und Schwarztee,Sauté de tofu avec des fruits et le thé noir,Tofu stir-fry with fruit and black tea
Tomaten-Rigatoni mit Feta,Tomate Rigatoni avec féta,Tomato Rigatoni with feta
Topinambur-Ofenschüssel in Mangoldblätter und Orange,Topinambour plat allant au four dans des feuilles de bette à carde et à l'orange,Jerusalem artichoke oven dish in chard leaves and orange
Tortellini mit Orangen und Salbeicreme,Tortellini avec des oranges et crème de sauge,Tortellini with orange and sage cream
Tortellini mit Ricotta und pikante Sauce,Tortellini à la ricotta et sauce piquante,Tortellini with ricotta and spicy sauce
Tortelloni in Käse - Rahm - Sauce,Tortelloni au fromage - crème - sauce,Tortelloni in cheese - cream - sauce
Vegane Sushi Röllchen,Sushi rolls Vegan,Vegan sushi rolls
Vegetarische Curry Reispfanne mit Stangenbohnen,Riz au curry végétarien avec des haricots verts,Vegetarian curry rice with string beans
Vegetarische Gemüse-Lasagne,Végétarienne lasagnes de légumes,Vegetarian vegetable lasagne
Vegetarische Käseplätzchen,Biscuits au fromage végétariens,Vegetarian cheese cookies
Vegetarische Pizza mit Saisongemüse,Pizza végétarienne avec des légumes de saison,Vegetarian pizza with seasonal vegetables
Walnuss Wraps mit Zitronencreme und Pilzen,Noyer enveloppe avec de la crème de citron et aux champignons,Walnut Wraps with lemon cream and mushrooms
Weizentortillas mit Kidneybohnen,Tortillas de blé avec des haricots,Wheat tortillas with kidney beans
Westafrikanisches Mafé,Mafé Afrique de l'Ouest,West African Mafé
Wirsing mit Ei und Reis,Wirsing avec l'oeuf et le riz,Wirsing with egg and rice
Wirsing-Bergkäse Quiche,Quiche au fromage de Savoie Montagne,Savoy Mountain Cheese Quiche
Wirsingviertel an Senf-Sahne-Sauce mit Petersilienkartoffeln,District Wirsing sur sauce à la crème de moutarde avec pommes de terre persillées,Wirsing district on mustard cream sauce with parsley potatoes
Würzige Hirse mit frischen Möhren und Knoblauchjoghurt,Mil épicé avec des carottes fraîches et l'ail yaourt,Spicy millet with fresh carrots and garlic yoghurt
Würzige Tomaten-Gnocchi aus dem Ofen in Paprika - Sauce,Gnocchi tomate épicée sortie du four dans du paprika - sauce,Spicy tomato gnocchi out of the oven in paprika - sauce
Würziger Nudel-Auflauf mit Gehacktem,Spicy casserole de nouilles avec émincé,Spicy noodle casserole with minced meat
Würziger Zucchini-Kuchen,Gâteau de courgettes Spicy,Spicy Zucchini Cake
Würziges Kokos-Curry mit Ananas und Erbsen,Spicy curry de noix de coco avec ananas et petits pois,Spicy coconut curry with pineapple and peas
Würziges Reis-Rosinen-Ragout mit Bananen,Riz épicé et raisins ragoût avec des bananes,Spicy rice and raisin stew with bananas
Nüssen,Nuts,nuts
Würziges Spitzkohl-Curry,Chou épicé curry,Spicy cabbage curry
Würziges Tofu-Gulasch,Tofu épicé ragoût,Spicy tofu stew
Zucchini gefüllt mit Quinoa und kräftigem Baumnuss-Ziegenkäse-Topping,Courgettes farcies au quinoa et le noyer vigoureuse et fromage de chèvre garniture de,Zucchini stuffed with quinoa and vigorous walnut and goat's cheese topping
Zwiebelkuchen mit Rosmarin und Honig,Tarte à l'oignon au romarin et au miel,Onion tart with rosemary and honey
Älplermakkaronen mit Gruyere und blauen Schweden,Älplermakkaronen avec Gruyère et bleu Suède,Älplermakkaronen with Gruyere and blue Sweden
Überbackene Brokkoli-Cannelloni in Tomatensauce,Four Brocoli Cannelloni à la sauce tomate,Baked Broccoli Cannelloni in tomato sauce
Überbackene Käse-Enchiladas,Enchiladas de fromage cuit,Baked Cheese Enchiladas
Überbackene Paprikaboote mit Hirse,Bateaux de poivron au four avec du millet,Baked pepper boats with millet
Überbackene Polenta,Polenta au four,Baked Polenta
Überbackener Auberginen-Auflauf mit Rosmarin,Baked cuisson d'aubergine au romarin,Baked aubergine bake with rosemary
